target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
8,0,,,100,101,84,50.38092589378357,96,100.0,False
0,0,1.0,,53,101,81,41.75323462486267,24,1000000000.0,False
6,0,1.0,,51,101,68,39.53094244003296,58,100000000.0,False
4,0,1.0,,60,101,86,41.104814529418945,36,100000000.0,False
5,0,1.0,,43,101,76,39.91137766838074,96,100.0,False
10,0,,,100,101,54,50.04120206832886,95,10000.0,False
2,0,,,100,101,90,50.31394076347351,45,10000.0,False
5,0,1.0,,43,101,76,38.71552348136902,96,10.0,False
7,0,,,100,101,75,49.340800523757935,55,100000000.0,False
11,0,1.0,,50,101,76,41.935662508010864,39,1000000000.0,False
8,0,1.0,,71,101,73,48.47302222251892,96,1000.0,False
0,0,,,100,101,73,51.902971029281616,0,,False
1,0,,,100,101,83,51.44853234291077,96,10000.0,False
7,0,1.0,,67,101,84,44.20835018157959,71,1000000000.0,False
10,0,,,100,101,54,52.193862199783325,95,1000.0,False
3,0,1.0,,51,101,91,40.85806465148926,21,100000000.0,False
6,0,,,100,101,56,50.107033491134644,96,10.0,False
9,0,1.0,,55,101,85,42.71143102645874,96,10.0,False
9,0,,,100,101,81,49.63561463356018,96,100.0,False
11,0,,,100,101,79,49.64629793167114,34,100000000.0,False
11,0,1.0,,60,101,76,44.7449517250061,54,100000000.0,False
1,0,1.0,,43,101,83,36.589515924453735,17,1000000000.0,False
1,0,,,100,101,82,49.672815561294556,25,10000000.0,False
7,0,,,100,101,78,51.28798270225525,96,10000.0,False
5,0,,,100,101,83,48.52931046485901,58,1000000.0,False
4,0,,,100,101,84,48.23071479797363,24,1000000000.0,False
0,0,,,100,101,82,48.15659499168396,34,10000000.0,False
3,0,1.0,,59,101,91,44.212066411972046,96,10.0,False
